feature,xgb_rank,xgb_importance,catboost_rank,catboost_importance,shap_rank,shap_value,avg_rank
income_vs_regional_div_debt_service_ratio,2,0.06478219,3,3.6422127376149698,1,0.1418979126959046,2.0
credit_score_squared,4,0.022594087,1,4.3636219926787225,2,0.1160614198572064,2.3333333333333335
annual_income_X_age,1,0.07189133,8,2.334997635664052,3,0.1086395006584144,4.0
credit_score_sqrt,11,0.013754977,2,3.671289228836509,4,0.1029186986876161,5.666666666666667
credit_score,9,0.017296823,6,2.7762390263569263,5,0.0790813558323842,6.666666666666667
credit_score_log,5,0.022152042,7,2.4948155893066404,10,0.0612940878611257,7.333333333333333
credit_score_X_annual_income,7,0.018064817,13,1.6279386935129008,7,0.0653120435058484,9.0
combined_risk_score,10,0.015450271,9,2.1954776802664866,9,0.0635563854961036,9.333333333333334
age_cubed,8,0.017930454,12,1.714301114049144,11,0.0560999636005633,10.333333333333334
age_squared,13,0.011563237,11,1.8757003770055467,12,0.0547409478642694,12.0
loan_type_freq,26,0.0074353316,4,3.199004802868078,6,0.0693429805059084,12.0
num_credit_accounts,24,0.007834895,5,3.183356591080307,8,0.064717117285669,12.333333333333334
age_sqrt,6,0.022108171,21,1.384642094297141,16,0.0316003934664769,14.333333333333334
debt_service_coverage,15,0.009906288,15,1.5760032382897082,15,0.0330770609471919,15.0
debt_burden_score,12,0.012070842,20,1.4442356283109938,13,0.0510130512664649,15.0
payment_burden,18,0.008818803,14,1.5778524538225078,31,0.0210797595294644,21.0
num_public_records,19,0.008620598,32,1.0981643549001938,18,0.030929425482394,23.0
credit_utilization,29,0.007140494,19,1.447204002864612,21,0.0278934300731027,23.0
monthly_income_squared,23,0.007849722,31,1.0983946816117094,19,0.0304604191221743,24.333333333333332
regional_unemployment_rate,38,0.006178784,10,1.963076771667297,25,0.0258985580651639,24.333333333333332
debt_service_ratio_X_payment_to_income_ratio,34,0.006430825,23,1.3143065303440884,17,0.0312303456334835,24.666666666666668
total_debt_to_income,30,0.0069897496,17,1.4887123227637136,28,0.0237522008700743,25.0
income_vs_regional_sqrt,16,0.009672384,37,0.8449868767715205,30,0.0213915632120293,27.666666666666668
ratio_revolving_balance_to_available_credit,37,0.006287188,25,1.2567431475963224,22,0.027463037338305,28.0
annual_debt_payment,41,0.0059279287,16,1.5692535375225365,33,0.0207786982502828,30.0
debt_service_ratio_X_payment_burden,22,0.008082855,35,0.8512803121621687,35,0.0199923487515876,30.666666666666668
ratio_total_debt_amount_to_annual_income,48,0.0053215222,28,1.1324749673617356,26,0.0258044506936091,34.0
available_credit,52,0.0053043542,27,1.1824762207026056,23,0.0272770077296307,34.0
debt_service_ratio,20,0.008493019,39,0.8286452746246885,47,0.0131926705748273,35.333333333333336
age_group_36-45,17,0.008910259,47,0.7515685561362624,43,0.0147322791049298,35.666666666666664
credit_score_div_debt_to_income_ratio,47,0.0054616313,24,1.270940664960906,39,0.0168036773718447,36.666666666666664
credit_utilization_div_revolving_balance,67,0.0048855264,22,1.3465905212857188,34,0.0206164373478768,41.0
num_public_records_has_value,28,0.007221806,58,0.6184936827223839,37,0.0173119591914161,41.0
monthly_income_sqrt,14,0.0101296855,63,0.5413168648359523,55,0.0110110851262202,44.0
annual_income_sqrt,3,0.033408947,77,0.3912791712619896,65,0.0081550543075559,48.333333333333336
credit_score_div_annual_income,21,0.008351882,67,0.5177089036929725,64,0.008932223983965,50.666666666666664
payment_to_income_ratio_div_total_debt_to_income,77,0.0047440054,26,1.2119692144909668,53,0.0118338771865195,52.0
payment_to_income_ratio,96,0.004369359,29,1.115774546124213,38,0.0168444488730622,54.333333333333336
monthly_payment,27,0.007333831,80,0.3638369857948354,59,0.0106016390270463,55.333333333333336
annual_income,25,0.007631229,100,0.2163293669652064,46,0.0139802180172103,57.0
age,161,0.0,18,1.4700553383736092,14,0.0374472041037323,64.33333333333333
annual_income_squared,164,0.0,65,0.5388976403683748,29,0.0227647924565465,86.0
annual_income_log,999,0.0,34,0.8853774307661966,20,0.0295508471617988,351.0
monthly_income_log,999,0.0,30,1.1152708979984425,27,0.0241256480916527,352.0
age_log,999,0.0,56,0.6257707889251595,24,0.0262187165641006,359.6666666666667
